Artist Name,Title,Thumbnail,Label,Genre,master release date
藤沼千美,ディスコチック 六本木小唄 / 冷たい指,https://i.discogs.com/rSjubMUVR0_IHBhkl9BdHNbldkusx96ZT9VkVpxNSS0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1NDE0/NDQtMTM2Nzg0NDEz/MS01MzIxLmpwZWc.jpeg,Trio Records,"Funk / Soul, Pop",1978
Pop Five Music Incorporated,Aria / Page One,https://i.discogs.com/-yz-A8dqrWlFJqzidOFzl2kEhY4OL-8y85OSZGbpFng/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMDgw/NjUtMTU2NTgwMzcy/NS00MzgxLmpwZWc.jpeg,Vogue Schallplatten,"Rock, Funk / Soul, Pop",1970
Brian (19),The Rainmaker,https://i.discogs.com/5Q7vw6VA4nJOTOU-Mf4SddZA1v_wHTXaWu7sEe_smlo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU2NzIz/MzctMTQwMzk3NjY2/Ni03NTg4LmpwZWc.jpeg,MCA Records,"Rock, Pop",1970
Salt (3),Hung - Up / I Can't Believe ,https://i.discogs.com/br0R2cyHGC2sJD-kjZiMlHaSh0tcj6QqJ5wz_FMn__Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NTgw/NTEtMTM2NTQyMjUw/Ny0yMDIyLmpwZWc.jpeg,Choctaw Records,Funk / Soul,1973
Supernaut (3),Too Hot To Touch,https://i.discogs.com/j3YydXCkuYfOPh_CCxSv5hb98Jf1vflNlL0kA1yFRao/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NDAy/NjEtMTYxNTE3NzMz/NS01NDk5LmpwZWc.jpeg,Polydor,Rock,1976
Rocky F. Holicke,Movement / Ready For Take Off,https://i.discogs.com/ntEMFEFA_1rconKkAacW1wsfcwA2H1TbblimsZYq4ks/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxNDIy/MDgtMTQxMjExNjIz/MS04MzI1LmpwZWc.jpeg,Aero Sound,Rock,1973
Jimi Entley Sound,Apache,https://i.discogs.com/61gJ7bQ50TwtwRz2wiVzaENTc1sNQCXlwGJAg5PWdgI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc4MjQ4/NDQtMTQ0OTU3Mjcw/OC01NTAzLmpwZWc.jpeg,,Funk / Soul,2002
Jake Wade & The Soul Searchers,Searching For Soul,https://i.discogs.com/2GLNUrWOFuO0Wx8nst_hWJWqP68iMkSkS6eUZAXQaJw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTcw/MTItMTcyMTg2ODYz/My03NjE3LmpwZWc.jpeg,Mutt Records (4),Funk / Soul,1968
The New Seekers / Ivor Raymonde Orchestra,Buy The World A Coke / It's The Real Thing,https://i.discogs.com/qro9FYGbVmTV6D5JuzhgrlcyU7_VNOT-EKO4ro-AnkY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxNTAx/NzgtMTMxNzg5NTA2/MC5qcGVn.jpeg,"Coca-Cola, Coca-Cola",Pop,1971
Manzel,Sugar Dreams / Midnight Theme,https://i.discogs.com/WKSGASDnqNgFQ3k_MNUM3bcw1z9dqbM3_8a6OML9upc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyMTAz/MTMtMTM0NzEzNzg4/MC0yOTg2LmpwZWc.jpeg,Fraternity Records,"Electronic, Funk / Soul",1979
